time,count,precinct
1609866171072,76,Bouldercrest Road
1609869606639,97,Bouldercrest Road
1609873204167,114,Bouldercrest Road
1609877143154,124,Bouldercrest Road
1609881003341,144,Bouldercrest Road
1609883932294,158,Bouldercrest Road
1609887390001,183,Bouldercrest Road
1609852550650,45,Bethune Middle
1609855876176,65,Bethune Middle
1609860217657,100,Bethune Middle
1609864045151,134,Bethune Middle
1609867714572,161,Bethune Middle
1609870014984,184,Bethune Middle
1609876518955,239,Bethune Middle
1609880375921,278,Bethune Middle
1609887473635,383,Bethune Middle
1609851460423,37,Burgess Elem
1609855079704,66,Burgess Elem
1609855325107,68,Burgess Elem
1609858616967,88,Burgess Elem
1609862531587,129,Burgess Elem
1609865815423,154,Burgess Elem
1609869382605,180,Burgess Elem
1609873569945,203,Burgess Elem
1609876490718,221,Burgess Elem
1609880655245,251,Burgess Elem
1609883734832,273,Burgess Elem
1609887251479,302,Burgess Elem
1609851688501,19,Columbia Drive
1609855314015,39,Columbia Drive
1609858929127,63,Columbia Drive
1609862482794,88,Columbia Drive
1609865987181,111,Columbia Drive
1609870419846,137,Columbia Drive
1609880290718,202,Columbia Drive
1609884142783,229,Columbia Drive
1609887644958,252,Columbia Drive
1609851894982,37,Canby Lane Elem
1609855297682,50,Canby Lane Elem
1609859113052,76,Canby Lane Elem
1609862492969,93,Canby Lane Elem
1609866009630,112,Canby Lane Elem
1609869588115,133,Canby Lane Elem
1609873267113,152,Canby Lane Elem
1609876539522,163,Canby Lane Elem
1609880395514,181,Canby Lane Elem
1609884185054,219,Canby Lane Elem
1609887695552,237,Canby Lane Elem
1609891313906,268,Canby Lane Elem
1609848145629,0,Columbia Elem
1609851790588,6,Columbia Elem
1609855598387,20,Columbia Elem
1609859763775,33,Columbia Elem
1609866055085,54,Columbia Elem
1609869689217,71,Columbia Elem
1609873307487,88,Columbia Elem
1609876918630,106,Columbia Elem
1609880960682,124,Columbia Elem
1609884665164,143,Columbia Elem
1609887777703,156,Columbia Elem
1609891843651,173,Columbia Elem
1609851795815,35,Cedar Grove Elem
1609855279624,59,Cedar Grove Elem
1609858887582,83,Cedar Grove Elem
1609862521160,113,Cedar Grove Elem
1609866207734,148,Cedar Grove Elem
1609849294697,27,Chamblee
1609850525377,51,Chamblee
1609853291729,103,Chamblee
1609855418626,141,Chamblee
1609855848654,141,Chamblee
1609859837655,210,Chamblee
1609862072120,262,Chamblee
1609866073770,332,Chamblee
1609870052808,422,Chamblee
1609873915370,472,Chamblee
1609877175348,530,Chamblee
1609880663930,590,Chamblee
1609884315410,658,Chamblee
1609885885854,686,Chamblee
1609887944605,730,Chamblee
1609852226198,44,McNair High
1609857027608,74,McNair High
1609858845567,93,McNair High
1609862779251,126,McNair High
1609866563813,158,McNair High
1609873666685,212,McNair High
1609876828297,253,McNair High
1609880968856,292,McNair High
1609884021444,333,McNair High
1609887342823,370,McNair High
1609848247159,8,Chapel Hill Elem
1609852162847,32,Chapel Hill Elem
1609855395405,64,Chapel Hill Elem
1609858842142,77,Chapel Hill Elem
1609862670653,115,Chapel Hill Elem
1609866219226,142,Chapel Hill Elem
1609869783389,164,Chapel Hill Elem
1609874042028,202,Chapel Hill Elem
1609877018569,223,Chapel Hill Elem
1609880701687,261,Chapel Hill Elem
1609884197316,300,Chapel Hill Elem
1609887970183,352,Chapel Hill Elem
1609891306906,387,Chapel Hill Elem
1609851797773,39,Chesnut Elem
1609855332859,63,Chesnut Elem
1609858855396,95,Chesnut Elem
1609862783254,135,Chesnut Elem
1609866021047,161,Chesnut Elem
1609869658442,194,Chesnut Elem
1609873223848,223,Chesnut Elem
1609876883545,247,Chesnut Elem
1609880490142,265,Chesnut Elem
1609884469223,300,Chesnut Elem
1609887775359,343,Chesnut Elem
1609851677294,27,Clairemont West
1609855293184,69,Clairemont West
1609859008419,92,Clairemont West
1609862973946,120,Clairemont West
1609866079603,140,Clairemont West
1609869767915,172,Clairemont West
1609873335597,195,Clairemont West
1609876954122,214,Clairemont West
1609880469816,230,Clairemont West
1609884118486,249,Clairemont West
1609887671856,269,Clairemont West
1609891200657,280,Clairemont West
1609852184310,51,Brockett Elem
1609855440479,74,Brockett Elem
1609859047149,97,Brockett Elem
1609862380588,126,Brockett Elem
1609866665072,168,Brockett Elem
1609870037767,192,Brockett Elem
1609873290694,214,Brockett Elem
1609876985311,249,Brockett Elem
1609881012082,275,Brockett Elem
1609884437642,294,Brockett Elem
1609887767075,318,Brockett Elem
1609851722355,66,Clarkston
1609855265122,93,Clarkston
1609858863810,135,Clarkston
1609862559646,165,Clarkston
1609866051966,208,Clarkston
1609869799374,246,Clarkston
1609875489745,297,Clarkston
1609877100414,346,Clarkston
1609881291015,400,Clarkston
1609884551696,456,Clarkston
1609851974602,48,Clifton
1609855240309,75,Clifton
1609858630250,97,Clifton
1609861789971,122,Clifton
1609869827342,191,Clifton
1609872988756,220,Clifton
1609877144328,259,Clifton
1609880005015,288,Clifton
1609883188363,336,Clifton
1609886175647,402,Clifton
1609889452739,473,Clifton
1609891401904,502,Clifton
1609851568128,18,Columbia Middle
1609855187381,31,Columbia Middle
1609858814263,47,Columbia Middle
1609862576832,61,Columbia Middle
1609865899701,73,Columbia Middle
1609869496830,87,Columbia Middle
1609872978962,109,Columbia Middle
1609877114663,128,Columbia Middle
1609880173506,139,Columbia Middle
1609884055182,154,Columbia Middle
1609887507528,181,Columbia Middle
1609891666211,197,Columbia Middle
1609848362440,5,Coan Recreation Center
1609851852567,42,Coan Recreation Center
1609855402782,62,Coan Recreation Center
1609859113384,89,Coan Recreation Center
1609862664118,124,Coan Recreation Center
1609866903999,163,Coan Recreation Center
1609869701524,176,Coan Recreation Center
1609873775192,216,Coan Recreation Center
1609877632419,260,Coan Recreation Center
1609880555978,287,Coan Recreation Center
1609883967028,321,Coan Recreation Center
1609887604889,365,Coan Recreation Center
1609891219237,391,Coan Recreation Center
1609848322998,5,Cross Keys High
1609849686034,45,Cross Keys High
1609851867893,72,Cross Keys High
1609855532911,124,Cross Keys High
1609859533401,162,Cross Keys High
1609863341037,202,Cross Keys High
1609866437166,247,Cross Keys High
1609870823406,309,Cross Keys High
1609874119519,365,Cross Keys High
1609877455972,411,Cross Keys High
1609880583729,447,Cross Keys High
1609884503563,502,Cross Keys High
1609888147840,572,Cross Keys High
1609891275461,620,Cross Keys High
1609851575425,29,Crossroads
1609855675065,50,Crossroads
1609858842319,67,Crossroads
1609862632404,90,Crossroads
1609866037221,100,Crossroads
1609869692984,135,Crossroads
1609873761588,167,Crossroads
1609876829189,182,Crossroads
1609880479083,202,Crossroads
1609884004266,231,Crossroads
1609887566915,265,Crossroads
1609851757081,32,Candler
1609855407641,62,Candler
1609859092655,88,Candler
1609862520185,113,Candler
1609866473397,143,Candler
1609870403090,182,Candler
1609873743271,223,Candler
1609877148858,248,Candler
1609880529266,273,Candler
1609884306584,312,Candler
1609887888764,349,Candler
1609851682547,13,Cedar Grove Middle
1609855185948,20,Cedar Grove Middle
1609858786703,32,Cedar Grove Middle
1609862627472,45,Cedar Grove Middle
1609866077583,55,Cedar Grove Middle
1609869871153,67,Cedar Grove Middle
1609869900016,173,Cedar Grove Middle
1609873393415,204,Cedar Grove Middle
1609876938513,233,Cedar Grove Middle
1609877196631,95,Cedar Grove Middle
1609880431219,260,Cedar Grove Middle
1609880434456,109,Cedar Grove Middle
1609884061401,124,Cedar Grove Middle
1609885071088,318,Cedar Grove Middle
1609887620467,147,Cedar Grove Middle
1609889477904,375,Cedar Grove Middle
1609852131577,38,Cedar Grove South
1609856774733,72,Cedar Grove South
1609861516438,103,Cedar Grove South
1609866360090,139,Cedar Grove South
1609870206046,175,Cedar Grove South
1609875457872,220,Cedar Grove South
1609878770977,259,Cedar Grove South
1609882139317,294,Cedar Grove South
1609885716280,338,Cedar Grove South
1609889407946,392,Cedar Grove South
1609849087003,9,Covington Hwy
1609851823405,21,Covington Hwy
1609855945873,33,Covington Hwy
1609856096530,43,Covington Hwy
1609858727161,58,Covington Hwy
1609863212795,99,Covington Hwy
1609866271323,118,Covington Hwy
1609869629066,145,Covington Hwy
1609884806101,229,Covington Hwy
1609892192285,286,Covington Hwy
1609852092633,20,Clairemont East
1609855349777,40,Clairemont East
1609862517950,86,Clairemont East
1609865954001,112,Clairemont East
1609869911076,137,Clairemont East
1609873495790,164,Clairemont East
